2026-05-01T22:32:34.074324 - Запущен evaluator для задания b9d7f6fa-50f9-49e2-b9ab-c3d5e29ad694, тип 1
2026-05-01T22:32:34.074393 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-01T22:32:34.075297 - SITL запущен, ожидание инициализации...
2026-05-01T22:32:49.679566 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-01T22:32:50.482964 - Heartbeat получен, соединение с SITL установлено.
2026-05-01T22:32:50.483009 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-01T22:32:50.483210 - Ожидание подключения Mission Planner на порту 14601
2026-05-01T22:32:51.067868 - Предполётная подготовка (критерий 1) выполнена
2026-05-01T22:35:37.128326 - Прогресс: {1: 100, 2: 100, 3: 41, 4: 0}
2026-05-01T22:35:39.133489 - Прогресс: {1: 100, 2: 100, 3: 45, 4: 0}
2026-05-01T22:35:41.108567 - Пройдено 252 м, прогресс 50%
2026-05-01T22:35:41.127848 - Прогресс: {1: 100, 2: 100, 3: 50, 4: 0}
2026-05-01T22:35:43.121074 - Прогресс: {1: 100, 2: 100, 3: 53, 4: 0}
2026-05-01T22:35:45.383254 - Прогресс: {1: 100, 2: 100, 3: 55, 4: 0}
2026-05-01T22:35:47.548795 - Прогресс: {1: 100, 2: 100, 3: 61, 4: 0}
2026-05-01T22:35:49.606556 - Прогресс: {1: 100, 2: 100, 3: 66, 4: 0}
2026-05-01T22:35:51.616455 - Прогресс: {1: 100, 2: 100, 3: 69, 4: 0}
2026-05-01T22:35:53.626190 - Прогресс: {1: 100, 2: 100, 3: 74, 4: 0}
2026-05-01T22:35:55.634055 - Прогресс: {1: 100, 2: 100, 3: 78, 4: 0}
2026-05-01T22:35:56.109956 - Пройдено 402 м, прогресс 80%
2026-05-01T22:35:57.633290 - Прогресс: {1: 100, 2: 100, 3: 83, 4: 0}
2026-05-01T22:35:59.992180 - Прогресс: {1: 100, 2: 100, 3: 84, 4: 0}
2026-05-01T22:36:01.721686 - Пройдено 452 м, прогресс 90%
2026-05-01T22:36:01.994943 - Прогресс: {1: 100, 2: 100, 3: 90, 4: 0}
2026-05-01T22:36:03.998315 - Прогресс: {1: 100, 2: 100, 3: 92, 4: 0}
2026-05-01T22:36:05.999644 - Прогресс: {1: 100, 2: 100, 3: 97, 4: 0}
2026-05-01T22:36:07.993393 - Прогресс: {1: 100, 2: 100, 3: 98, 4: 0}
2026-05-01T22:36:10.246558 - Прогресс: {1: 100, 2: 100, 3: 98, 4: 0}
2026-05-01T22:36:12.241779 - Прогресс: {1: 100, 2: 100, 3: 98, 4: 0}
2026-05-01T22:36:14.485004 - Прогресс: {1: 100, 2: 100, 3: 99, 4: 0}
2026-05-01T22:36:16.227749 - Пройдено 506 м, прогресс 100%
2026-05-01T22:36:16.499628 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:18.495636 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:20.493320 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:22.502488 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:24.723581 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:26.738498 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:28.736336 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:30.743823 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:33.079264 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:35.088569 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:37.101644 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:39.334126 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:41.337294 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:43.342756 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:45.340652 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:47.342643 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:49.596629 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:51.596142 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:53.745955 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:55.742447 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:57.818591 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:36:59.827607 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:01.843544 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:03.834259 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:05.923512 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:07.941940 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:09.934038 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:12.185716 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:14.187972 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-01T22:37:15.422601 - Посадка в радиусе 0.0 м от старта (критерий 4 выполнен)
2026-05-01T22:37:15.431824 - Задание завершено. Успех: True
2026-05-01T22:37:15.435191 - Evaluator завершён
