2026-04-29T19:52:24.456907 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:26.510921 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:28.517579 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:30.511810 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:32.523596 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:34.521983 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:36.764753 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:38.764251 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:40.768386 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:42.775768 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:45.009368 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:47.094137 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:49.301538 - Прогресс: взлёт=100% полёт=100% дистанция=100% посадка=0%
2026-04-29T19:52:49.874335 - Посадка в радиусе 0.0 м от старта (критерий 4 выполнен)
2026-04-29T19:52:49.894947 - Задание завершено. Успех: True
2026-04-29T19:52:49.903769 - Evaluator завершён
