2026-05-03T20:00:34.189491 - Запущен evaluator для задания cf3f9740-c510-4fe4-bb9f-73b97d85a65e, тип 1
2026-05-03T20:00:34.189559 - Запуск SITL: /home/vladik/ardupilot/Tools/autotest/sim_vehicle.py -v ArduCopter -I 0 --map --console --out 127.0.0.1:14560
2026-05-03T20:00:34.191376 - SITL запущен, ожидание инициализации...
2026-05-03T20:00:49.191764 - Подключение к MAVLink UDP 127.0.0.1:14560...
2026-05-03T20:00:49.854238 - Heartbeat получен, соединение с SITL установлено.
2026-05-03T20:00:49.854424 - Открытие TCP-сервера для Mission Planner на порту 14601...
2026-05-03T20:00:49.854799 - Ожидание подключения Mission Planner на порту 14601
2026-05-03T20:00:50.483326 - Предполётная подготовка (критерий 1) выполнена
2026-05-03T20:03:19.992642 - Прогресс: {1: 100, 2: 100, 3: 66, 4: 0}
2026-05-03T20:03:22.005126 - Прогресс: {1: 100, 2: 100, 3: 69, 4: 0}
2026-05-03T20:03:22.240916 - Пройдено 354 м, прогресс 70%
2026-05-03T20:03:24.016175 - Прогресс: {1: 100, 2: 100, 3: 72, 4: 0}
2026-05-03T20:03:26.249713 - Прогресс: {1: 100, 2: 100, 3: 73, 4: 0}
2026-05-03T20:03:28.244650 - Прогресс: {1: 100, 2: 100, 3: 73, 4: 0}
2026-05-03T20:03:30.252791 - Прогресс: {1: 100, 2: 100, 3: 75, 4: 0}
2026-05-03T20:03:32.658622 - Прогресс: {1: 100, 2: 100, 3: 79, 4: 0}
2026-05-03T20:03:34.678359 - Прогресс: {1: 100, 2: 100, 3: 82, 4: 0}
2026-05-03T20:03:36.673408 - Прогресс: {1: 100, 2: 100, 3: 85, 4: 0}
2026-05-03T20:03:38.239675 - Пройдено 454 м, прогресс 90%
2026-05-03T20:03:38.756796 - Прогресс: {1: 100, 2: 100, 3: 90, 4: 0}
2026-05-03T20:03:40.746970 - Прогресс: {1: 100, 2: 100, 3: 95, 4: 0}
2026-05-03T20:03:42.743646 - Прогресс: {1: 100, 2: 100, 3: 97, 4: 0}
2026-05-03T20:03:42.996265 - Пройдено 502 м, прогресс 100%
2026-05-03T20:03:44.758076 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:46.753484 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:50.096425 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:52.193578 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:54.203983 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:56.438955 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:03:58.443916 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:00.441960 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:02.435700 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:04.591082 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:06.594561 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:08.599233 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:10.683309 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:12.702316 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:14.694037 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:16.700984 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:18.689586 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:20.692712 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:24.365885 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:26.354851 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:28.377917 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:30.615884 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:32.856784 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:34.860099 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:36.852763 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:38.854003 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:40.871750 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:43.027346 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:45.034411 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:47.360917 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:49.529094 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:51.529230 - Прогресс: {1: 100, 2: 100, 3: 100, 4: 0}
2026-05-03T20:04:53.510572 - Посадка в радиусе 0.0 м от старта (критерий 4 выполнен)
2026-05-03T20:04:53.517302 - Задание завершено. Успех: True
2026-05-03T20:04:53.520559 - Evaluator завершён
