2026-04-29T20:37:50.674729 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:52.917120 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:54.928963 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:56.929035 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:37:58.933834 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:01.182713 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:03.184980 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:05.194951 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:07.434094 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:09.430400 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:11.520439 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:13.519093 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:15.519744 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:17.536105 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:19.768528 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:21.772573 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:23.768175 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:25.768112 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:27.769913 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:29.793277 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:31.830248 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:34.024337 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:36.033812 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:38.046695 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:40.282627 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:42.279301 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:44.468510 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:46.481593 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:48.481246 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:50.708089 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:52.709169 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:54.717553 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:56.775126 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:38:58.966680 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:01.228618 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:03.227845 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:05.229938 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:07.230226 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:09.237368 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:11.236260 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:13.233840 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:15.272801 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:17.673592 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:19.679685 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:21.678394 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:23.684450 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:25.684697 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:27.923856 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:29.925162 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:31.933430 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:33.932528 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:35.934624 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:37.932726 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:39.938644 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:42.078402 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:44.169991 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:46.173776 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:48.177215 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:50.888956 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:52.893961 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:54.893712 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:56.885316 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:39:58.897674 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:00.900988 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:02.897959 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:05.134064 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:07.185144 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:09.186203 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:11.187873 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:13.388642 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:15.403599 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:17.644152 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:19.643909 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:21.645699 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:23.847964 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:25.946131 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:27.940218 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:29.947695 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:31.946532 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:33.953304 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:35.950756 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:37.988704 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:40.189323 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:42.196252 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:44.445575 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:46.445470 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:48.501976 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:50.504918 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:52.496612 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:54.512674 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:56.932848 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:40:59.118566 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
2026-04-29T20:41:01.122421 - Прогресс: взлёт=100% полёт=85% дистанция=100% посадка=0%
